English,Português
I,eu
is,é
I,eu
not,não
she,ela
you,tu
that,aquele
the,a
it,isto
and,e
the,a
to,para
she,ela
The,O
a,uma
in,dentro
weather,clima
You,Vocês
to me,para mim
with,com
What,O que
the,a
me,mim
What,O que
on,em
that,aquele
he,ele
one,1
It,Isto
Has,Tem
we,nós
and,e
so,assim
are,está
from,a partir de
you,tu
was,foi
to have,Ter
for,para
Yes,sim
here,aqui
at,no
have,ter
He,Ele
am,sou
how,quão
still,ainda
to you,para você
US,nós
yourself,você mesmo
the,a
only,só
a,uma
no,não
to the,ao
him,dele
even,até
have,ter
be,estar
her,ela
there,lá
the end,o fim
can,posso
but,mas
but,mas
beautiful,lindo
if,E se
will,vontade
around,por aí
how,quão
as,Como
are you,és tu
in the,no
times,vezes
indeed,na verdade
Good,Boa
my,minha
now,agora
White,Branco
When,Quando
will,vontade
the,a
after,depois de
Yes,sim
Oh,Oh
or,ou
then,então
want,quer
my,minha
more,mais
no,não
some,algum
everything,tudo
got to,ter que
always,sempre
nothing,nada
one,1
again,novamente
at,no
have,ter
do,Faz
in front,em frente
man,homem
him,dele
a,uma
do,Faz
to the,ao
be able,ser capaz
say,dizer
become,tornar-se
then,então
is,é
A,UMA
why,Por quê
a,uma
walk,andar
see,Vejo
very,muito
goes,vai
Everyone,Todos
above,acima de
have to,precisa
these,esses
easy,fácil
to you,para você
of,do
never,Nunca
So,assim
Where,Onde
Come on,Vamos
Time,Tempo
them,eles
gives,dá
really,realmente
Hey,Ei
Thanks,Obrigado
your,seu
would,gostaria
target,alvo
There,Lá
would have,teria
here,aqui
to know,saber
You're welcome,De nada
a lot of,um monte de
then,então
So,assim
said,disse
Her,Ela
at the,no
no,não
come,venha
who,Who
back,de volta
became,tornou-se
In,Dentro
wanted to,queria
woman,mulher
Life,Vida
would,gostaria
Where,Onde
in order to,a fim de
not,não
God,Deus
People,Pessoas
can,posso
today,hoje
think,pensar
this,esta
your,seu
comes,vem
come,venha
want,quer
N / A,N / D
want,quer
secure,seguro
all,todo
now,agora
my,minha
Mr,Senhor
so,assim
to the,ao
Have,Ter
Good,Boa
would have,teria
because,Porque
does,faz
Hello,Olá
OK,OK
power,potência
were,eram
until,até
Maybe,Pode ser
could,poderia
One,Um
You're welcome,De nada
away,um jeito
his,seu
permit,permitir
father,pai
seen,visto
so,assim
just,somente
All,Todo
believe,acreditam
Day,Dia
away,um jeito
money,dinheiro
made,fez
no,não
Sir,Senhor
should,devemos
said,disse
none,Nenhum
through,Através dos
two,dois
this,esta
happened,ocorrido
probably,provavelmente
perhaps,talvez
your,seu
mother,mãe
talk,palestra
others,outras
thought,pensei
that,aquele
would like,gostaria
become,tornar-se
belongs,pertence
whisper,sussurrar
No,Não
Out,Fora
My,Meu
pair,par
better,melhorar
if,E se
on,em
must,devo
order,pedido
mine,minha
clear,Claro
them,eles
Come on,Vamos
This,este
my,minha
Long,Grandes
let,deixar
this,esta
help,ajuda
our,nosso
away,um jeito
even,até
Just,Somente
Find,Encontrar
Times,Vezes
someone,alguém
think,pensar
Oh,Oh
night,noite
I agree,eu concordo
even,até
says,diz
world,mundo
on,em
girl,menina
into the,no
there,lá
from the,de
Nice,agradável
why,Por quê
further,mais longe
Sorrow,Tristeza
same,mesmo
who,Who
One,Um
without,sem
People,Pessoas
yours,Sua
suffering,Sofrimento
how so,como assim
there,lá
as,Como
Home,Lar
should,devemos
from that,a partir desse
together,junto
give,dar
OK,OK
Hear,Ouvir
make,fazer
friend,amigo
correct,correto
fear,medo
Are you,Você está
Does,Faz
with,com
lots,grande quantidade
sees,vê.
House,casa
dead,morta
should,devemos
entire,inteira
other,de outros
did,fez
OK,OK
pure,puro
These,Esses
moment,momento
remain,permanecer
need,precisar
because,Porque
children,crianças
under,sob
work,trabalhar
For,Para
problem,problema
Therefore,Portanto
Mister,senhor
To have,Ter
because,Porque
Let's,Vamos
love,amar
enough,o suficiente
included,incluído
bring,trazer
Your,Seu
ne,ne.
against,contra
Whisper,Sussurrar
say,dizer
fast,velozes
well,Nós vamos
one,1
need,precisar
evening,tarde
had,teve
years,anos
Make up,Maquiagem
Brothers,Irmãos
matter,importam
Listen,Ouvir
come,venha
son,filho
since,desde
morning,manhã
three,três
stands,Stands.
crap,porcaria
like,Como
may be,talvez
our,nosso
could,poderia
have,ter
or,ou
once,uma vez
called,chamado
OK,OK
Want,Quer
head,cabeça
help,ajuda
family,família
Go,Ir
infant,infantil
You,Vocês
Are,Está
first,primeiro
finished,finalizado
found,encontrado
are,está
came,veio
to take,pegar
morning,manhã
to speak,falar
To me,Para mim
right away,agora mesmo
Can,pode
Has,Tem
Years,Anos
child,criança
