Deutch,English
Ich,I
ist,is
ich,I
nicht,not
Sie,she
du,you
das,that
die,the
es,it
und,and
der,the
zu,to
sie,you
Das,That
ein,a
in,in
wir,weather
Du,You
mir,to me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,Has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,itself
Die,the
nur,just
einen,a
Nein,no
dem,to the
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out of
kann,can
aber,but
Aber,but
schon,beautiful
wenn,if
wird,will
um,around
Wie,As
als,as
bist,are you
im,in the
mal,times
doch,indeed
gut,Good
meine,think
jetzt,now
weiß,White
Wenn,When
werden,will
Der,Of the
nach,to
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,one
wieder,once again
bei,at
hab,have
machen,do
vor,in front
Mann,man
ihm,him
einem,a
tun,to do
zum,to the
können,be able
sagen,to say
werde,become
denn,then
Ist,is
Ein,A
Warum,why
einer,a
gehen,walk
sehen,see
sehr,very
geht,goes
alle,Everyone
über,about
müssen,have to
diese,this
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,Them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,yours
würde,would
soll,target
Da,There
hatte,had
Hier,here
wissen,to know
bitte,You're welcome
viel,much
Dann,then
So,So
gesagt,said
Ihr,Her
am,at the
kein,no
Komm,Come
Wer,who
zurück,return
wurde,became
In,In
wollte,wanted to
Frau,woman
Leben,life
wäre,would
wo,Where
damit,in order to
Nicht,not
Gott,God
Leute,people
kannst,can
heute,today
meinen,say
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N / A
wollen,want
sicher,secure
ganz,quite
Jetzt,now
Mein,my
Mr,Mr
also,so
zur,to the
Hast,Have
Gut,Good
hätte,had
weil,because
tut,does
Hallo,Hi
Okay,OK
macht,might
waren,was
bis,until
Vielleicht,perhaps
könnte,could
Eine,One
Bitte,Please
weg,away
seine,his
lassen,to let
Vater,Father
gesehen,seen
Nun,so
gerade,just
Alles,All
glaube,believe
Tag,Day
ab,away
Geld,money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this
passiert,happens
wohl,well
vielleicht,perhaps
ihre,your
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like to
wirst,become
gehört,heard
weißt,whisper
Keine,None
raus,Out
Meine,Think
paar,pair
besser,better
ob,if
her,on
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,This
meinem,my
lange,Long
Lass,Let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,Night
genau,exactly
gar,at all
sagt,says
Welt,World
Auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,Nice
warum,why
weiter,continue
Leid,suffering
gleich,same
wer,who
Man,One
ohne,without
Menschen,People
deinen,yours
leid,suffering
Wieso,how so
dort,there
Als,When
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,OK
Hör,Hear
machst,make
Freund,friend
richtig,correct
Angst,fear
Bist,Are you
Tut,Does
Mit,With
viele,many
sieht,sees
Haus,a house
tot,dead
